model,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand,car_age
 A3,9.23024103368252,Manual,11.103000426139971,Diesel,95.0,83.1,1.6,Audi,1.791759469228055
 A6,9.825580063659602,Manual,10.43737519189882,Diesel,95.0,61.4,2.0,Audi,1.791759469228055
 A1,8.853808274977197,Manual,11.152579505377,Diesel,95.0,74.3,1.6,Audi,2.1972245773362196
 A3,9.268703615273097,Manual,10.541148449877937,Diesel,95.0,70.6,1.6,Audi,1.791759469228055
 A3,9.680406499268875,Manual,10.17542126801977,Diesel,95.0,67.3,1.6,Audi,1.6094379124341003
 Q3,9.61587214452889,Manual,10.712170801767405,Diesel,125.0,57.7,2.0,Audi,1.6094379124341003
 Q3,9.546884034617925,Manual,11.114862890378806,Petrol,150.0,51.4,1.4,Audi,1.6094379124341003
 A3,9.84961197956681,Manual,9.79773807235252,Petrol,150.0,54.3,1.5,Audi,1.3862943611198906
 A4,9.23024103368252,Manual,11.152579505377,Diesel,95.0,70.6,2.0,Audi,1.791759469228055
 A1,9.367429587218957,Manual,9.866252865925903,Petrol,150.0,67.3,1.0,Audi,1.6094379124341003
 A3,9.350189267092581,Automatic,10.848210238404517,Petrol,125.0,50.4,1.8,Audi,2.1972245773362196
 A1,9.287394001418473,Manual,9.808187372681804,Petrol,95.0,67.3,1.0,Audi,1.791759469228055
 A3,9.433563920090563,Manual,9.877913301416697,Diesel,95.0,67.3,2.0,Audi,1.791759469228055
 A6,9.717218213494077,Manual,10.398458146978019,Diesel,95.0,61.4,2.0,Audi,1.791759469228055
 A3,9.48044384215367,Manual,10.164543268920198,Diesel,145.0,65.7,2.0,Audi,1.6094379124341003
 A3,9.024131268455035,Manual,11.152579505377,Diesel,95.0,68.9,2.0,Audi,1.791759469228055
 A3,9.680406499268875,Manual,8.649098262296176,Petrol,145.0,49.6,1.0,Audi,1.0986122886681098
 A4,9.735128070758227,Manual,9.302007560502007,Petrol,145.0,51.4,1.4,Audi,1.6094379124341003
 Q5,9.883335864325275,Automatic,10.315663426335734,Diesel,175.0,47.1,2.0,Audi,1.791759469228055
 Q3,9.989711119284745,Automatic,9.86889610776651,Petrol,145.0,40.4,2.0,Audi,1.6094379124341003
 A6,9.692828247710418,Manual,10.024952689817304,Diesel,145.0,61.4,2.0,Audi,1.6094379124341003
 A5,9.83633227734872,Manual,9.906134047477034,Petrol,145.0,49.6,2.0,Audi,1.6094379124341003
 Q3,9.686636660844938,Manual,9.721185995542177,Diesel,95.0,60.1,2.0,Audi,1.791759469228055
 A3,9.332646496360152,Manual,10.15140176217555,Diesel,95.0,74.3,1.6,Audi,1.791759469228055
 A3,9.55400099583723,Manual,9.25540933534376,Petrol,95.0,60.1,1.4,Audi,1.791759469228055
 A6,9.717218213494077,Automatic,10.67609265443079,Diesel,125.0,57.6,2.0,Audi,1.791759469228055
 A1,9.332646496360152,Manual,10.286297970079486,Petrol,95.0,55.4,1.4,Audi,1.6094379124341003
 Q3,9.65509029374725,Manual,10.510940669885711,Petrol,125.0,51.4,1.4,Audi,1.6094379124341003
 A1,9.210440366976517,Manual,10.251500085896208,Petrol,125.0,53.3,1.4,Audi,2.0794415416798357
