model,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand,car_age
 Mondeo,9.267759862843668,Manual,10.94489436743346,Diesel,95.0,65.7,2.0,Ford,1.6094379124341003
 Fiesta,9.392745258631441,Manual,9.055789612127585,Petrol,145.0,62.8,1.0,Ford,1.3862943611198906
 Kuga,9.625821815359835,Automatic,9.036463061964891,Petrol,175.0,38.2,1.5,Ford,1.9459101490553132
 Fiesta,9.105090961257085,Manual,9.569552095566886,Petrol,95.0,65.7,1.0,Ford,2.0794415416798357
 Kuga,9.664659134301736,Semi-Auto,10.695008397454334,Diesel,145.0,54.3,2.0,Ford,1.6094379124341003
 B-MAX,9.259225769705994,Manual,8.954673628956414,Petrol,145.0,55.4,1.0,Ford,1.6094379124341003
 Focus,9.770013301136158,Manual,9.503233841478497,Petrol,145.0,48.7,1.0,Ford,1.0986122886681098
 Focus,9.453364978883542,Manual,9.05473863988161,Petrol,145.0,60.1,1.0,Ford,1.3862943611198906
 KA,8.476579508530941,Manual,10.339772802984179,Petrol,95.0,57.7,1.2,Ford,1.9459101490553132
 Kuga,10.042901608318806,Manual,9.364948090202622,Diesel,150.0,39.2,2.0,Ford,1.3862943611198906
 Kuga,9.664659134301736,Manual,9.865526046249009,Diesel,150.0,60.1,2.0,Ford,1.3862943611198906
 EcoSport,9.510519035757246,Manual,9.194312610898985,Diesel,145.0,68.9,1.5,Ford,1.3862943611198906
 Fiesta,9.286930974137896,Manual,8.565602330623925,Petrol,145.0,65.7,1.0,Ford,1.3862943611198906
 Edge,9.928228944424575,Semi-Auto,10.25769445336048,Diesel,175.0,47.9,2.0,Ford,1.791759469228055
 Focus,9.698674957906642,Manual,8.910990494656719,Petrol,145.0,58.9,1.0,Ford,1.0986122886681098
 Focus,9.680406499268875,Manual,9.267948684596496,Petrol,150.0,49.6,1.0,Ford,1.0986122886681098
 Fiesta,9.61587214452889,Manual,8.68490859582083,Petrol,150.0,65.7,1.0,Ford,1.3862943611198906
 Fiesta,9.383957488139991,Manual,9.192278229157774,Petrol,150.0,65.7,1.0,Ford,1.3862943611198906
 Mondeo,9.472781556562168,Automatic,10.334165463115696,Petrol,175.0,43.5,1.5,Ford,1.6094379124341003
 Ka+,8.987321812850125,Manual,9.098961783992793,Petrol,150.0,57.7,1.2,Ford,1.3862943611198906
 Fiesta,9.12598002335811,Manual,9.342683558963897,Petrol,95.0,65.7,1.0,Ford,1.791759469228055
 Focus,9.365718869155696,Manual,10.036925190765844,Petrol,145.0,60.1,1.0,Ford,1.3862943611198906
 Kuga,9.673508190212637,Manual,10.494131243361226,Diesel,145.0,54.3,2.0,Ford,1.6094379124341003
 Fiesta,8.807022955925477,Manual,10.734808458400192,Petrol,95.0,65.7,1.0,Ford,2.0794415416798357
 Focus,9.585277541715389,Manual,9.891870333195937,Diesel,145.0,80.7,1.5,Ford,1.0986122886681098
 Focus,8.657476736863293,Manual,11.152579505377,Petrol,95.0,56.5,1.0,Ford,2.0794415416798357
 KA,8.505727713306959,Manual,9.465447598495786,Petrol,95.0,57.7,1.2,Ford,1.9459101490553132
 Fiesta,9.249176395761381,Manual,9.790038860028549,Petrol,150.0,65.7,1.0,Ford,1.6094379124341003
 Galaxy,10.184749057184986,Automatic,9.00663173330058,Diesel,145.0,54.3,2.0,Ford,1.0986122886681098
 Fiesta,9.358415490041546,Manual,9.737019659665341,Diesel,150.0,58.9,1.5,Ford,1.3862943611198906
 KA,8.698847859222488,Manual,9.028338763993148,Petrol,95.0,57.7,1.2,Ford,1.9459101490553132
 Fiesta,9.209940291954844,Manual,10.478779819856559,Petrol,150.0,65.7,1.0,Ford,1.6094379124341003
 Kuga,9.27058845232154,Manual,11.152579505377,Diesel,145.0,54.3,2.0,Ford,1.9459101490553132
 Kuga,9.559658319461347,Manual,10.275085591132715,Diesel,150.0,60.1,2.0,Ford,1.6094379124341003
 Focus,9.666878750268348,Manual,9.105090961257085,Petrol,150.0,60.1,1.0,Ford,1.0986122886681098
 Mondeo,9.79762691183662,Semi-Auto,10.308985993422082,Diesel,150.0,58.9,2.0,Ford,1.6094379124341003
 Fiesta,9.176886995716963,Manual,10.165890277802454,Petrol,150.0,65.7,1.0,Ford,1.6094379124341003
 Kuga,9.392328539868899,Automatic,10.602169388594548,Petrol,175.0,38.2,1.5,Ford,2.0794415416798357
 Kuga,9.61587214452889,Semi-Auto,10.036356225610552,Diesel,145.0,52.3,2.0,Ford,1.791759469228055
 Focus,9.350102314351341,Manual,10.051390182459624,Petrol,145.0,60.1,1.0,Ford,1.6094379124341003
 Kuga,9.825580063659602,Manual,9.13852208418571,Diesel,145.0,45.6,1.5,Ford,1.0986122886681098
 Focus,9.305650551780507,Semi-Auto,10.415202780486952,Petrol,145.0,51.4,1.0,Ford,1.6094379124341003
 Mondeo,9.305741456739435,Manual,10.200141754786113,Diesel,95.0,78.5,1.5,Ford,1.791759469228055
 Ka+,8.81358720447004,Manual,10.077482875583607,Petrol,145.0,57.7,1.2,Ford,1.3862943611198906
 Ka+,8.922791623969637,Manual,10.498553216683446,Petrol,145.0,57.7,1.2,Ford,1.6094379124341003
 Fiesta,8.699681400989514,Manual,10.869215858012614,Petrol,95.0,54.3,1.2,Ford,2.0794415416798357
 Focus,9.391911647379434,Manual,10.291433424425355,Diesel,145.0,74.3,1.5,Ford,1.6094379124341003
 C-MAX,9.7005142080113,Automatic,8.922791623969637,Petrol,145.0,36.7,1.5,Ford,1.0986122886681098
 Kuga,9.615205300012315,Manual,9.365290731974005,Diesel,145.0,60.1,2.0,Ford,1.6094379124341003
 Fiesta,9.433563920090563,Manual,9.350189267092581,Petrol,145.0,58.9,1.0,Ford,1.0986122886681098
 Focus,9.225327501784431,Manual,9.814219084777946,Petrol,145.0,61.4,1.0,Ford,1.6094379124341003
 Kuga,9.645429005150419,Manual,9.37695589894852,Diesel,145.0,60.1,2.0,Ford,1.3862943611198906
 EcoSport,9.257796313132479,Manual,9.93677725040077,Petrol,145.0,52.3,1.0,Ford,1.6094379124341003
 Fiesta,9.755625391793744,Manual,6.90875477931522,Petrol,145.0,60.1,1.0,Ford,0.6931471805599453
 EcoSport,10.019090435608215,Manual,6.2166061010848646,Petrol,145.0,51.4,1.0,Ford,0.6931471805599453
 Fiesta,9.99268819799443,Manual,6.2166061010848646,Petrol,145.0,55.4,1.0,Ford,0.6931471805599453
 Fiesta,8.612685172875459,Manual,10.826853198082246,Petrol,95.0,54.3,1.2,Ford,2.0794415416798357
 Focus,9.825580063659602,Manual,9.698490846702954,Petrol,145.0,41.5,2.0,Ford,1.6094379124341003
 Fiesta,8.98669669562029,Manual,9.742261904036907,Petrol,125.0,54.3,1.2,Ford,1.791759469228055
 Kuga,9.648337205086833,Manual,9.556197008479035,Diesel,145.0,60.1,2.0,Ford,1.3862943611198906
 Kuga,9.6678285081515,Manual,10.103485294343026,Diesel,145.0,54.3,1.5,Ford,1.3862943611198906
 Kuga,9.581972891547895,Manual,9.888069299807748,Diesel,95.0,64.2,1.5,Ford,1.6094379124341003
 Ka+,8.974744612722734,Manual,10.286707051696972,Petrol,145.0,57.7,1.2,Ford,1.3862943611198906
 Fiesta,9.259225769705994,Manual,9.874830843286324,Petrol,145.0,65.7,1.0,Ford,1.3862943611198906
 EcoSport,9.239996256883693,Manual,9.944341546544393,Petrol,145.0,52.3,1.0,Ford,1.6094379124341003
 Fiesta,9.375939552625749,Manual,9.346356175893625,Petrol,145.0,65.7,1.0,Ford,1.3862943611198906
 Fiesta,9.350189267092581,Manual,10.425104737380318,Petrol,145.0,65.7,1.0,Ford,1.3862943611198906
 Fiesta,9.187174093944343,Manual,9.186764635447478,Petrol,145.0,64.2,1.1,Ford,1.6094379124341003
 Fiesta,9.205428327615163,Manual,8.86177531100083,Petrol,145.0,65.7,1.0,Ford,1.3862943611198906
 Fiesta,8.592671652592143,Manual,11.152579505377,Diesel,95.0,78.5,1.6,Ford,2.0794415416798357
 EcoSport,9.239025005836092,Manual,9.97329342678009,Petrol,125.0,52.3,1.0,Ford,1.6094379124341003
 Galaxy,9.388570235866881,Manual,10.699078499172499,Diesel,150.0,49.6,2.0,Ford,2.0794415416798357
 Fiesta,9.207436158828793,Manual,10.614204477206133,Petrol,150.0,47.9,1.6,Ford,1.791759469228055
 Mondeo,9.67884287509565,Automatic,9.148145768383065,Electric,95.0,67.3,2.0,Ford,1.791759469228055
 Fiesta,9.15915233520675,Manual,10.012924747234504,Petrol,95.0,65.7,1.0,Ford,1.6094379124341003
 Kuga,9.961803629358965,Manual,8.62998601889136,Petrol,145.0,35.3,1.5,Ford,1.0986122886681098
 Ka+,9.235130540783402,Manual,9.10764297373784,Petrol,145.0,43.5,1.2,Ford,1.3862943611198906
 Fiesta,9.392745258631441,Manual,10.322822692163156,Petrol,145.0,62.8,1.0,Ford,1.3862943611198906
 Galaxy,9.90353755128617,Manual,10.13396415121713,Diesel,125.0,56.5,2.0,Ford,1.6094379124341003
 Focus,9.811975152030021,Manual,9.33467964623179,Petrol,175.0,41.5,2.0,Ford,1.6094379124341003
 Kuga,9.577826662126565,Manual,9.8967146682487,Diesel,125.0,60.1,2.0,Ford,1.6094379124341003
 Fiesta,9.229260256828693,Manual,9.509555680241636,Petrol,145.0,65.7,1.0,Ford,1.3862943611198906
 S-MAX,10.044943711090122,Semi-Auto,9.617137925318126,Diesel,145.0,52.3,2.0,Ford,1.3862943611198906
 Focus,9.08375621986673,Manual,10.724676082976957,Diesel,95.0,74.3,1.5,Ford,1.9459101490553132
 Fiesta,9.429395577381786,Manual,9.5227394469648,Petrol,145.0,56.5,1.0,Ford,1.3862943611198906
 Tourneo Custom,9.877708099548641,Manual,10.07907817399079,Diesel,150.0,44.8,2.0,Ford,1.6094379124341003
 Kuga,9.57851889529833,Manual,10.128189888314331,Diesel,150.0,60.1,2.0,Ford,1.6094379124341003
 Fiesta,9.208939391060555,Manual,9.130105979265577,Petrol,150.0,65.7,1.0,Ford,1.3862943611198906
 Mondeo,9.57851889529833,Automatic,10.515316211918485,Petrol,175.0,38.7,2.0,Ford,1.791759469228055
 Fiesta,9.41336284529417,Manual,9.575122364808813,Petrol,150.0,65.7,1.0,Ford,1.3862943611198906
 Focus,8.603554357064281,Manual,11.152579505377,Diesel,95.0,67.3,1.6,Ford,2.1972245773362196
 Edge,10.019090435608215,Semi-Auto,10.275085591132715,Diesel,150.0,47.9,2.0,Ford,1.6094379124341003
 Fiesta,9.301186055275759,Manual,9.741027444837728,Petrol,150.0,65.7,1.0,Ford,1.3862943611198906
 Focus,9.770013301136158,Manual,8.887652690325586,Petrol,145.0,58.9,1.0,Ford,1.0986122886681098
 Fiesta,9.392745258631441,Manual,9.178333575841096,Petrol,150.0,60.1,1.0,Ford,1.3862943611198906
 Fiesta,8.908694592507015,Manual,10.55022423527341,Diesel,95.0,78.5,1.5,Ford,1.9459101490553132
 Fiesta,9.34975442775886,Manual,10.34177474101152,Petrol,145.0,47.9,1.6,Ford,1.791759469228055
 Kuga,9.966274540634894,Semi-Auto,8.07558263667172,Diesel,145.0,42.2,2.0,Ford,1.0986122886681098
 Kuga,10.07285050816569,Semi-Auto,9.026056891868688,Diesel,145.0,38.7,2.0,Ford,1.0986122886681098
 Kuga,9.851457144441744,Manual,9.20693457884135,Petrol,145.0,35.3,1.5,Ford,1.0986122886681098
 Fiesta,9.205428327615163,Manual,10.388472154542294,Petrol,95.0,65.7,1.0,Ford,1.6094379124341003
 Kuga,9.890959401958858,Automatic,6.90875477931522,Petrol,145.0,28.8,1.5,Ford,1.0986122886681098
 Focus,9.375091807576673,Semi-Auto,10.192231560934287,Petrol,145.0,51.4,1.0,Ford,1.3862943611198906
 Fiesta,9.278092474027002,Manual,9.343384145733948,Petrol,95.0,62.8,1.0,Ford,1.9459101490553132
 Ka+,9.059633754551479,Manual,9.187890243138591,Petrol,145.0,57.7,1.2,Ford,1.6094379124341003
 Ka+,8.987321812850125,Manual,9.88745979145893,Petrol,95.0,57.7,1.2,Ford,1.791759469228055
 Fiesta,9.179984251961283,Manual,9.688870050941352,Petrol,95.0,65.7,1.0,Ford,1.6094379124341003
 Fiesta,8.839421607620602,Manual,10.862052024637613,Petrol,95.0,65.7,1.0,Ford,2.1972245773362196
 Fiesta,9.433563920090563,Manual,9.289890650734192,Petrol,145.0,65.7,1.0,Ford,1.3862943611198906
 Grand C-MAX,9.546884034617925,Manual,9.831722986306817,Petrol,145.0,54.3,1.0,Ford,1.3862943611198906
 Fiesta,9.18512512283512,Manual,9.8769895612299,Diesel,95.0,78.5,1.5,Ford,1.6094379124341003
 Ka+,9.259225769705994,Manual,8.470101583882387,Petrol,145.0,43.5,1.2,Ford,1.3862943611198906
 Fiesta,9.105090961257085,Manual,10.280998902962642,Petrol,145.0,54.3,1.2,Ford,1.6094379124341003
 Focus,9.640563131210074,Automatic,8.804024902413179,Petrol,145.0,50.4,1.0,Ford,1.3862943611198906
 EcoSport,9.135724578595394,Manual,9.906682443432647,Petrol,145.0,52.3,1.0,Ford,1.6094379124341003
 Fiesta,9.34583234141334,Manual,7.601402334583733,Petrol,145.0,65.7,1.0,Ford,1.6094379124341003
 Kuga,9.925787060030896,Manual,7.601402334583733,Diesel,145.0,38.2,2.0,Ford,1.0986122886681098
 Focus,9.852246888342531,Semi-Auto,9.614270969992395,Diesel,145.0,61.4,2.0,Ford,1.3862943611198906
 EcoSport,9.733647773244229,Manual,6.2166061010848646,Petrol,145.0,51.4,1.0,Ford,1.0986122886681098
 Fiesta,10.019090435608215,Manual,7.075808863978387,Petrol,145.0,40.4,1.5,Ford,1.0986122886681098
 Focus,9.042040056544483,Semi-Auto,10.736418414365376,Petrol,125.0,51.4,1.0,Ford,1.791759469228055
 Kuga,9.798182590890704,Manual,9.633645398212678,Diesel,145.0,38.2,2.0,Ford,1.0986122886681098
 Fiesta,8.698847859222488,Manual,11.152579505377,Petrol,95.0,65.7,1.0,Ford,1.791759469228055
 Focus,9.3048320350689,Manual,9.305741456739435,Petrol,145.0,61.4,1.0,Ford,1.6094379124341003
 EcoSport,9.305741456739435,Manual,7.901377353792616,Petrol,125.0,53.3,1.0,Ford,1.791759469228055
 Focus,9.472781556562168,Manual,10.582763977410282,Diesel,150.0,74.3,1.5,Ford,1.3862943611198906
 B-MAX,9.305741456739435,Manual,9.239996256883693,Petrol,150.0,55.4,1.0,Ford,1.6094379124341003
 Focus,9.305741456739435,Manual,9.864746724219698,Diesel,95.0,74.3,1.5,Ford,1.6094379124341003
 EcoSport,9.210440366976517,Manual,9.862196698118247,Diesel,150.0,64.2,1.5,Ford,1.6094379124341003
 Fiesta,9.137339479091693,Manual,10.505094936455558,Diesel,95.0,78.5,1.5,Ford,1.791759469228055
 Kuga,9.615538777855802,Manual,9.98118906019998,Diesel,125.0,60.1,2.0,Ford,1.6094379124341003
 Focus,8.846640813100485,Manual,10.518592107258032,Petrol,95.0,56.5,1.0,Ford,2.0794415416798357
 Fiesta,9.0432226489245,Manual,9.665484138314895,Petrol,95.0,65.7,1.0,Ford,1.6094379124341003
 Fiesta,9.137877200242468,Manual,10.136660639487516,Petrol,145.0,65.7,1.0,Ford,1.3862943611198906
 Focus,9.376786579611847,Semi-Auto,8.524168805152662,Petrol,125.0,51.4,1.0,Ford,1.791759469228055
 Focus,8.814479000010714,Manual,11.152579505377,Diesel,95.0,67.3,1.6,Ford,1.9459101490553132
 Fiesta,8.94793610670867,Manual,10.44281316577202,Petrol,95.0,65.7,1.0,Ford,1.9459101490553132
 Focus,9.826174449433458,Manual,6.648984550024776,Diesel,150.0,74.3,1.5,Ford,0.6931471805599453
 Fiesta,9.369222697036374,Manual,9.322954516345318,Petrol,150.0,65.7,1.0,Ford,1.3862943611198906
 EcoSport,8.934850340289763,Manual,10.476414354531222,Petrol,125.0,52.3,1.0,Ford,1.9459101490553132
 Fiesta,9.322954516345318,Manual,9.301186055275759,Petrol,145.0,65.7,1.0,Ford,1.6094379124341003
 Focus,8.90815361332152,Manual,10.801410627052098,Petrol,95.0,61.4,1.0,Ford,1.791759469228055
 Focus,9.02304647355567,Manual,10.199918739620157,Petrol,95.0,58.9,1.0,Ford,2.0794415416798357
 Focus,8.902591637374087,Manual,10.988710604085222,Diesel,95.0,67.3,1.6,Ford,1.9459101490553132
 B-MAX,8.708144074908246,Manual,10.167657877401936,Petrol,145.0,47.1,1.4,Ford,2.1972245773362196
 Fiesta,8.99230873254815,Manual,10.137927063592189,Petrol,95.0,65.7,1.0,Ford,1.9459101490553132
 Focus,9.638284261844774,Manual,9.26407069439715,Petrol,145.0,60.1,1.0,Ford,1.3862943611198906
 Focus,9.325542301664866,Semi-Auto,10.004824986442046,Petrol,125.0,51.4,1.0,Ford,1.6094379124341003
 Fiesta,9.433163872079467,Manual,9.696340374306518,Petrol,145.0,62.8,1.0,Ford,1.3862943611198906
 Fiesta,8.853093836138493,Manual,8.991562278171614,Petrol,125.0,54.3,1.2,Ford,1.9459101490553132
 Fiesta,9.305741456739435,Manual,10.074200320662365,Petrol,145.0,65.7,1.0,Ford,1.6094379124341003
 Focus,9.798182590890704,Manual,8.517393171418904,Petrol,145.0,49.6,1.0,Ford,1.0986122886681098
 Edge,9.769727562356604,Manual,10.778977123006351,Diesel,160.0,48.7,2.0,Ford,1.6094379124341003
 Fiesta,9.392745258631441,Manual,9.015662792972645,Petrol,145.0,65.7,1.0,Ford,1.3862943611198906
 Fiesta,9.648337205086833,Manual,7.650168700845001,Petrol,145.0,62.8,1.0,Ford,1.0986122886681098
 Focus,9.305741456739435,Manual,10.275085591132715,Diesel,145.0,74.3,1.5,Ford,1.6094379124341003
 Fiesta,9.158625936289503,Manual,9.758519582283522,Petrol,145.0,64.2,1.1,Ford,1.3862943611198906
 Fiesta,9.349319399257634,Manual,9.084777149000837,Petrol,145.0,65.7,1.0,Ford,1.3862943611198906
 Fiesta,9.258273025731485,Manual,9.564582358673212,Petrol,145.0,65.7,1.0,Ford,1.6094379124341003
 Fiesta,9.210440366976517,Manual,10.524090921620362,Petrol,145.0,65.7,1.0,Ford,1.6094379124341003
 EcoSport,9.454932254496262,Manual,9.392745258631441,Petrol,145.0,53.3,1.0,Ford,1.3862943611198906
 B-MAX,8.778941881841513,Manual,10.404293143019792,Diesel,95.0,68.9,1.5,Ford,2.1972245773362196
 Fiesta,9.305741456739435,Manual,9.61587214452889,Petrol,145.0,55.4,1.0,Ford,1.3862943611198906
 Fiesta,9.506065016071148,Manual,9.602585141913492,Petrol,145.0,65.7,1.0,Ford,1.0986122886681098
 Fiesta,9.105090961257085,Manual,10.378136624982952,Petrol,95.0,65.7,1.0,Ford,1.791759469228055
 Focus,9.798182590890704,Automatic,9.405495886750224,Petrol,150.0,47.9,1.5,Ford,1.3862943611198906
 Kuga,9.61587214452889,Manual,10.623787731088578,Diesel,125.0,60.1,2.0,Ford,1.6094379124341003
 Focus,9.648014489106362,Manual,8.839421607620602,Diesel,150.0,80.7,1.5,Ford,1.3862943611198906
 Fiesta,9.305741456739435,Manual,10.36385111529173,Petrol,145.0,65.7,1.0,Ford,1.3862943611198906
 Fiesta,9.104979856318357,Manual,9.852246888342531,Petrol,95.0,65.7,1.0,Ford,1.9459101490553132
 C-MAX,9.210440366976517,Manual,10.518700218288165,Diesel,95.0,68.9,1.5,Ford,1.791759469228055
 Fiesta,8.987321812850125,Manual,10.405746587635992,Diesel,95.0,78.5,1.5,Ford,1.791759469228055
 Fiesta,9.04735074348172,Manual,10.404293143019792,Petrol,125.0,54.3,1.2,Ford,1.6094379124341003
 Kuga,9.798182590890704,Semi-Auto,10.238709007255688,Diesel,145.0,54.3,2.0,Ford,1.3862943611198906
 Fiesta,9.105090961257085,Manual,9.937067385799324,Petrol,150.0,65.7,1.0,Ford,1.6094379124341003
 EcoSport,9.61587214452889,Manual,8.831565879121063,Petrol,150.0,54.3,1.0,Ford,1.3862943611198906
 Focus,8.962007209588313,Manual,10.609649670173567,Petrol,95.0,61.4,1.0,Ford,1.9459101490553132
 Focus,8.922791623969637,Manual,10.973185831039595,Petrol,95.0,55.4,1.0,Ford,2.0794415416798357
 Fiesta,9.43276366396591,Manual,9.32375833901174,Petrol,145.0,55.4,1.1,Ford,1.3862943611198906
 Fiesta,8.98619632032839,Manual,10.003332887505843,Petrol,95.0,65.7,1.0,Ford,1.791759469228055
 Focus,9.771155440487087,Manual,8.583542571957771,Petrol,145.0,60.1,1.0,Ford,1.0986122886681098
 Fiesta,8.79497643168877,Manual,10.462731842903445,Petrol,95.0,65.7,1.0,Ford,1.9459101490553132
 Fiesta,9.016876974763383,Manual,8.354674261918463,Petrol,145.0,54.3,1.2,Ford,1.6094379124341003
 Fiesta,9.544023006988647,Manual,7.99699040583765,Petrol,145.0,60.1,1.0,Ford,1.3862943611198906
 Fiesta,9.050288983827956,Manual,9.19309247856663,Petrol,125.0,54.3,1.2,Ford,1.791759469228055
 Edge,9.77854771798028,Manual,10.794604055861562,Diesel,160.0,48.7,2.0,Ford,1.791759469228055
 B-MAX,8.902591637374087,Manual,10.727202363111877,Diesel,95.0,70.6,1.6,Ford,1.9459101490553132
 Fiesta,9.662116382947598,Manual,7.344072850573066,Petrol,145.0,58.9,1.0,Ford,1.0986122886681098
 Ka+,8.987321812850125,Manual,9.557045784877424,Petrol,150.0,57.7,1.2,Ford,1.3862943611198906
 Edge,9.99884318585288,Semi-Auto,9.557045784877424,Diesel,150.0,47.9,2.0,Ford,1.6094379124341003
 Mondeo,9.90353755128617,Manual,3.9318256327243257,Diesel,150.0,65.7,2.0,Ford,1.0986122886681098
 Fiesta,9.219894584780995,Manual,9.14782646658694,Petrol,150.0,64.2,1.1,Ford,1.3862943611198906
 EcoSport,9.292012520620208,Manual,9.865422171729335,Petrol,125.0,52.3,1.0,Ford,1.791759469228055
 Fiesta,9.32375833901174,Manual,10.062028580664679,Petrol,150.0,65.7,1.0,Ford,1.6094379124341003
 C-MAX,9.305741456739435,Manual,8.774467601446593,Diesel,145.0,68.9,1.5,Ford,1.6094379124341003
 Kuga,9.433563920090563,Manual,11.107600347062979,Diesel,145.0,54.3,2.0,Ford,1.9459101490553132
 Fiesta,9.210440366976517,Manual,9.325898712610455,Petrol,145.0,54.3,1.2,Ford,1.6094379124341003
 Fiesta,9.278092474027002,Manual,10.366214772811087,Petrol,145.0,62.8,1.0,Ford,1.6094379124341003
 Kuga,9.680406499268875,Manual,9.313799080344413,Diesel,145.0,64.2,1.5,Ford,1.3862943611198906
 Edge,9.84961197956681,Semi-Auto,10.089095370321234,Diesel,160.0,48.7,2.0,Ford,1.6094379124341003
 Fiesta,9.210440366976517,Manual,10.18716160359037,Petrol,145.0,65.7,1.0,Ford,1.6094379124341003
 Fiesta,8.90598676523643,Manual,10.902132165417855,Petrol,95.0,65.7,1.0,Ford,1.791759469228055
 Fiesta,9.090542808520587,Manual,9.90353755128617,Diesel,95.0,78.5,1.5,Ford,1.791759469228055
 EcoSport,9.301186055275759,Manual,9.60245002503719,Petrol,145.0,52.3,1.0,Ford,1.6094379124341003
 S-MAX,9.99770622777511,Automatic,9.841718526138497,Petrol,145.0,35.8,2.0,Ford,1.6094379124341003
 Edge,9.925787060030896,Semi-Auto,10.44581184336149,Diesel,160.0,48.7,2.0,Ford,1.6094379124341003
 Galaxy,9.925787060030896,Semi-Auto,10.23713437285382,Diesel,145.0,52.3,2.0,Ford,1.6094379124341003
 Mondeo,9.468928284223587,Manual,10.31231367277647,Petrol,145.0,48.7,1.5,Ford,1.9459101490553132
 Fiesta,8.818926087090677,Manual,11.066622737219737,Diesel,95.0,78.5,1.5,Ford,1.6094379124341003
 EcoSport,9.350189267092581,Manual,10.114599007626499,Petrol,125.0,52.3,1.0,Ford,1.6094379124341003
 Ka+,8.958797346140274,Manual,8.95712413640568,Petrol,145.0,57.7,1.2,Ford,1.6094379124341003
 Fiesta,8.922658299524402,Manual,10.319859629482966,Petrol,125.0,54.3,1.2,Ford,1.6094379124341003
 C-MAX,9.546812608597396,Manual,7.3758821482150125,Petrol,145.0,55.4,1.0,Ford,1.3862943611198906
 Fiesta,9.239899174217728,Manual,9.263596738276615,Petrol,145.0,64.2,1.1,Ford,1.3862943611198906
 Fiesta,9.259130536145614,Manual,9.291459423260974,Petrol,145.0,64.2,1.1,Ford,1.3862943611198906
 Focus,9.328212292571072,Manual,10.407439607358947,Petrol,145.0,60.1,1.0,Ford,1.6094379124341003
 Focus,9.392661928770137,Manual,9.146548238888403,Petrol,145.0,60.1,1.0,Ford,1.6094379124341003
 Focus,9.350102314351341,Manual,9.793616881400416,Petrol,145.0,60.1,1.0,Ford,1.6094379124341003
 EcoSport,9.159047077588632,Manual,9.91758767691491,Petrol,145.0,53.3,1.0,Ford,1.6094379124341003
 Focus,9.392328539868899,Manual,9.900182095527402,Petrol,145.0,60.1,1.0,Ford,1.6094379124341003
 Fiesta,9.392661928770137,Manual,9.249176395761381,Petrol,145.0,65.7,1.0,Ford,1.6094379124341003
 Fiesta,9.391995039782433,Manual,9.92983732785891,Petrol,145.0,56.5,1.0,Ford,1.3862943611198906
 Fiesta,8.812992231969966,Manual,10.373678664205936,Petrol,95.0,54.3,1.2,Ford,2.0794415416798357
 EcoSport,9.50985219618154,Manual,9.575261224768767,Petrol,145.0,54.3,1.0,Ford,1.3862943611198906
 Kuga,10.373241150526654,Semi-Auto,7.765569081097317,Hybrid,135.0,86.35,2.5,Ford,0.6931471805599453
 Focus,9.044049632254756,Manual,11.034082887057288,Diesel,95.0,74.3,1.5,Ford,1.9459101490553132
 Fiesta,9.046879822823147,Manual,9.872512748236698,Petrol,125.0,54.3,1.2,Ford,1.791759469228055
 Fiesta,9.247732491193245,Manual,10.109851103810321,Petrol,145.0,65.7,1.0,Ford,1.6094379124341003
 Focus,9.758519582283522,Manual,8.402231172946555,Petrol,145.0,60.1,1.0,Ford,1.0986122886681098
 Fiesta,8.875007486048396,Manual,10.995545072233563,Diesel,95.0,86.35,1.5,Ford,1.791759469228055
 Fiesta,9.618535084655214,Automatic,8.851949671253948,Petrol,145.0,48.7,1.0,Ford,1.0986122886681098
 Focus,9.04735074348172,Semi-Auto,10.57773220059301,Petrol,165.0,44.8,1.6,Ford,1.9459101490553132
 Ka+,9.225327501784431,Manual,7.807510042216193,Petrol,150.0,47.9,1.2,Ford,1.0986122886681098
 Fiesta,9.441452092939569,Manual,9.440975789048688,Petrol,150.0,56.5,1.0,Ford,1.3862943611198906
 Fiesta,9.392661928770137,Manual,9.70381635740706,Petrol,150.0,65.7,1.0,Ford,1.3862943611198906
 Kuga,9.595602772766828,Manual,10.425787098375746,Diesel,125.0,60.1,2.0,Ford,1.6094379124341003
 Fiesta,9.136801468641313,Manual,9.506734385029985,Petrol,145.0,54.3,1.2,Ford,1.6094379124341003
 Fiesta,9.350102314351341,Manual,9.180808569370145,Petrol,145.0,58.9,1.0,Ford,1.0986122886681098
 Fiesta,8.922658299524402,Manual,10.319001996497294,Petrol,95.0,65.7,1.0,Ford,1.791759469228055
 Fiesta,9.27762511878178,Automatic,9.470779708034089,Petrol,145.0,57.7,1.0,Ford,1.6094379124341003
 Fiesta,9.259130536145614,Manual,9.663833449094929,Petrol,145.0,55.4,1.1,Ford,1.3862943611198906
 Focus,9.291090521661292,Manual,10.20551621869483,Petrol,95.0,60.1,1.0,Ford,1.6094379124341003
 Grand C-MAX,9.213435576883485,Automatic,9.760482858119124,Diesel,95.0,58.9,1.5,Ford,1.791759469228055
 Fiesta,9.163353580751846,Manual,9.659311868393488,Petrol,145.0,65.7,1.0,Ford,1.6094379124341003
 Fiesta,9.392495248213038,Manual,9.956696510867271,Diesel,145.0,58.9,1.5,Ford,1.3862943611198906
 Fiesta,9.392495248213038,Manual,9.546312483555713,Petrol,145.0,56.5,1.0,Ford,1.3862943611198906
